node	country
n25.polytomy_13	Czech Republic
n25.polytomy_59	South Africa
n25.polytomy_50	Poland
EPI_ISL_420362	Belgium
EPI_ISL_420357	Belgium
EPI_ISL_420361	Belgium
EPI_ISL_427531	USA
EPI_ISL_416886	Malaysia
n239	Canada
EPI_ISL_413711	China
EPI_ISL_413523	India
EPI_ISL_412869	South Korea
EPI_ISL_426167	South Korea
EPI_ISL_416338	China
EPI_ISL_406034	USA
EPI_ISL_416328	China
n297	China
n297	South Korea
n297	USA
n296.polytomy_71	Vietnam
EPI_ISL_416377	China
EPI_ISL_403933	China
EPI_ISL_414521	Germany
n304	China
n305	Japan
EPI_ISL_429094	China
n303.polytomy_68	USA
EPI_ISL_424356	China
EPI_ISL_413519	China
n306.polytomy_60	South Korea
n308	China
EPI_ISL_428718	Turkey
n278	Spain
n286	Spain
EPI_ISL_417979	Spain
EPI_ISL_418244	Spain
EPI_ISL_420107	Singapore
EPI_ISL_420100	Singapore
EPI_ISL_428822	Singapore
n322	Denmark
EPI_ISL_417459	Germany
EPI_ISL_419533	Germany
EPI_ISL_414505	Germany
EPI_ISL_419531	Germany
EPI_ISL_417461	Germany
EPI_ISL_417462	Germany
EPI_ISL_419534	Germany
EPI_ISL_416033	Brazil
EPI_ISL_416488	Poland
EPI_ISL_414497	Germany
EPI_ISL_414509	Germany
EPI_ISL_418916	USA
EPI_ISL_414504	Germany
EPI_ISL_414574	Germany
EPI_ISL_425134	Germany
EPI_ISL_414498	Germany
EPI_ISL_420904	Germany
n323	Germany
EPI_ISL_420356	Belgium
n319.polytomy_69	United Kingdom
n319.polytomy_3	Austria
EPI_ISL_428483	India
EPI_ISL_421573	South Africa
EPI_ISL_428856	Gambia
EPI_ISL_427305	Brazil
EPI_ISL_416432	Saudi Arabia
n328	Malaysia
n328	Singapore
n328	Slovenia
EPI_ISL_429882	Taiwan
EPI_ISL_417444	Pakistan
n331	China
EPI_ISL_414430	Netherlands
EPI_ISL_425499	United Kingdom
EPI_ISL_408430	France
EPI_ISL_416351	China
EPI_ISL_420889	Japan
EPI_ISL_412969	Japan
n342	Diamond Princess
EPI_ISL_416589	Diamond Princess
EPI_ISL_416324	China
EPI_ISL_416388	China
EPI_ISL_428445	China
EPI_ISL_413015	Canada
EPI_ISL_425177	Canada
EPI_ISL_413014	Canada
n357	China
EPI_ISL_428452	China
EPI_ISL_413581	Netherlands
EPI_ISL_422622	Netherlands
n363	Netherlands
EPI_ISL_417482	Ecuador
EPI_ISL_417211	New Zealand
EPI_ISL_421459	Portugal
EPI_ISL_415638	United Kingdom
EPI_ISL_412862	USA
EPI_ISL_413561	USA
EPI_ISL_428268	USA
EPI_ISL_428307	USA
EPI_ISL_428327	USA
EPI_ISL_428305	USA
EPI_ISL_428337	USA
EPI_ISL_428309	USA
EPI_ISL_428313	USA
EPI_ISL_428271	USA
EPI_ISL_428270	USA
EPI_ISL_428253	USA
EPI_ISL_428292	USA
EPI_ISL_428265	USA
EPI_ISL_428310	USA
EPI_ISL_428339	USA
EPI_ISL_428257	USA
n349	USA
n350	USA
EPI_ISL_418000	Portugal
EPI_ISL_425417	United Kingdom
EPI_ISL_418141	United Kingdom
EPI_ISL_417286	United Kingdom
n359	United Kingdom
EPI_ISL_418583	Ireland
EPI_ISL_417975	Spain
EPI_ISL_418005	Portugal
