node	country
EPI_ISL_429878	USA
EPI_ISL_414540	Netherlands
n376	USA
n377	USA
EPI_ISL_429006	USA
EPI_ISL_419555	USA
EPI_ISL_421691	USA
EPI_ISL_420805	USA
EPI_ISL_408010	USA
EPI_ISL_420789	USA
n364	USA
EPI_ISL_430105	Russia
n118	Italy
EPI_ISL_418388	Finland
n124	Italy
n124	Mexico
n124	United Kingdom
n127	Italy
n176	France
n176	Germany
n176	Italy
n177	France
n177	Italy
n177	Kuwait
EPI_ISL_419668	Austria
n193	Portugal
n193	Russia
n193	Sri Lanka
n194	Italy
EPI_ISL_416144	Denmark
EPI_ISL_429148	Sweden
n199	Italy
EPI_ISL_412973	Italy
EPI_ISL_417921	Italy
EPI_ISL_417447	Italy
EPI_ISL_417418	Italy
EPI_ISL_417423	Italy
EPI_ISL_419254	Italy
EPI_ISL_417421	Italy
n205	Switzerland
EPI_ISL_418355	Canada
EPI_ISL_419693	Belarus
n210	Italy
EPI_ISL_416482	Georgia
EPI_ISL_422438	Italy
n212	Senegal
EPI_ISL_420563	Italy
EPI_ISL_418255	Italy
n213	Germany
n213	Italy
n213	USA
n213	United Kingdom
EPI_ISL_424344	Italy
n2.polytomy_61	Spain
n2.polytomy_20	France
n2.polytomy_68	USA
n2.polytomy_30	India
n2.polytomy_50	Poland
n2.polytomy_69	United Kingdom
n2.polytomy_44	Netherlands
n2.polytomy_23	Germany
n2.polytomy_59	South Africa
n2.polytomy_32	Ireland
n2.polytomy_58	Slovenia
n2.polytomy_6	Brazil
n2.polytomy_13	Czech Republic
n2.polytomy_5	Belgium
n2.polytomy_12	Croatia
EPI_ISL_420362	Belgium
EPI_ISL_420361	Belgium
EPI_ISL_420357	Belgium
EPI_ISL_429412	Denmark
EPI_ISL_429115	Sweden
EPI_ISL_414506	Germany
n222	Germany
EPI_ISL_414499	Germany
EPI_ISL_422059	United Kingdom
n218	United Kingdom
EPI_ISL_425530	United Kingdom
EPI_ISL_420726	United Kingdom
EPI_ISL_419654	Austria
EPI_ISL_419655	Austria
EPI_ISL_427531	USA
EPI_ISL_411060	China
n228	Canada
EPI_ISL_413711	China
EPI_ISL_413854	China
EPI_ISL_413523	India
EPI_ISL_413761	China
EPI_ISL_413791	China
EPI_ISL_413860	China
n288	South Korea
EPI_ISL_416427	Vietnam
EPI_ISL_416409	China
EPI_ISL_406034	USA
EPI_ISL_428457	China
n290	China
n290	USA
EPI_ISL_413752	China
EPI_ISL_414688	China
EPI_ISL_403935	China
EPI_ISL_416318	China
EPI_ISL_414521	Germany
EPI_ISL_411956	USA
n298	Japan
n299	China
EPI_ISL_429176	Thailand
EPI_ISL_416885	Malaysia
EPI_ISL_413514	South Korea
EPI_ISL_407193	South Korea
EPI_ISL_412870	South Korea
EPI_ISL_413520	China
EPI_ISL_413017	South Korea
EPI_ISL_426180	South Korea
n303	China
EPI_ISL_428718	Turkey
n268	Spain
n277	Spain
EPI_ISL_417979	Spain
EPI_ISL_428822	Singapore
EPI_ISL_414379	Singapore
EPI_ISL_420100	Singapore
EPI_ISL_418005	Portugal
EPI_ISL_417975	Spain
EPI_ISL_418583	Ireland
EPI_ISL_419658	Austria
EPI_ISL_421633	USA
EPI_ISL_427599	USA
EPI_ISL_421425	USA
EPI_ISL_427615	USA
EPI_ISL_417931	USA
EPI_ISL_421613	USA
EPI_ISL_419765	Australia
EPI_ISL_427577	USA
n328	USA
EPI_ISL_413019	Switzerland
EPI_ISL_417011	Belgium
EPI_ISL_418432	France
n329	USA
EPI_ISL_413016	Brazil
EPI_ISL_426459	USA
n330	USA
n325.polytomy_44	Netherlands
n325.polytomy_69	United Kingdom
EPI_ISL_420375	Belgium
EPI_ISL_420369	Belgium
EPI_ISL_418243	Spain
EPI_ISL_420541	Slovenia
EPI_ISL_423307	United Kingdom
n338	United Kingdom
EPI_ISL_421929	United Kingdom
EPI_ISL_417212	New Zealand
EPI_ISL_427811	South Korea
EPI_ISL_427813	South Korea
EPI_ISL_413025	USA
n347	USA
EPI_ISL_428897	Russia
EPI_ISL_427167	USA
EPI_ISL_420794	USA
EPI_ISL_417765	Iceland
EPI_ISL_420136	Norway
EPI_ISL_417490	Norway
EPI_ISL_417918	Malaysia
EPI_ISL_417917	Malaysia
n352.polytomy_56	Singapore
EPI_ISL_424349	Iran
n356	Canada
n356	China
EPI_ISL_423945	United Kingdom
n369	United Kingdom
EPI_ISL_417193	Hong Kong
EPI_ISL_415582	Canada
n372	Belgium
EPI_ISL_422716	Netherlands
EPI_ISL_428883	Russia
EPI_ISL_417880	Slovakia
EPI_ISL_425474	United Kingdom
EPI_ISL_415506	Netherlands
EPI_ISL_422710	Netherlands
n371.polytomy_23	Germany
n371.polytomy_68	USA
EPI_ISL_413573	Netherlands
n374	Netherlands
EPI_ISL_428279	USA
EPI_ISL_428303	USA
EPI_ISL_428320	USA
EPI_ISL_428295	USA
EPI_ISL_412862	USA
EPI_ISL_413561	USA
EPI_ISL_428854	Italy
EPI_ISL_428853	Italy
EPI_ISL_417419	Italy
EPI_ISL_420125	Spain
EPI_ISL_423595	United Kingdom
EPI_ISL_424626	Mexico
EPI_ISL_427043	Greece
n128	Greece
n128	Italy
n128	Latvia
n128	USA
n130	Belgium
n130	Canada
n130	Italy
n130	Portugal
n130	Spain
n130	Switzerland
n130	USA
EPI_ISL_418259	Italy
EPI_ISL_415787	Peru
n133	Italy
n133	Portugal
n133	United Kingdom
EPI_ISL_420583	Italy
EPI_ISL_420565	Italy
EPI_ISL_418363	Canada
