node	Algeria	Argentina	Australia	Austria	Belarus	Belgium	Brazil	Cambodia	Canada	Chile	China	Colombia	Croatia	Czech Republic	Democratic Republic of the Congo	Denmark	Diamond Princess	Ecuador	Estonia	Finland	France	Gambia	Georgia	Germany	Ghana	Grand Princess	Greece	Hong Kong	Hungary	Iceland	India	Iran	Ireland	Israel	Italy	Japan	Jordan	Kuwait	Latvia	Lithuania	Luxembourg	Malaysia	Mexico	Nepal	Netherlands	New Zealand	Nigeria	Norway	Pakistan	Peru	Poland	Portugal	Qatar	Russia	Saudi Arabia	Senegal	Singapore	Slovakia	Slovenia	South Africa	South Korea	Spain	Sri Lanka	Sweden	Switzerland	Taiwan	Thailand	Turkey	USA	United Kingdom	Uruguay	Vietnam
root	1.1148864264361887e-78	3.336910334486726e-78	8.403340527072424e-76	1.1153792246086681e-77	2.225379296391748e-78	6.367381822878173e-77	2.7756505342239477e-77	1.1413440941520754e-75	2.702533707782246e-77	3.341739657564901e-78	1.0	2.224559833361094e-78	1.11414648466042e-78	3.346651558253026e-78	3.336834138649522e-78	5.574869789456616e-78	1.235427934422785e-78	2.2744857889133437e-78	2.225935707822466e-78	4.448925774374845e-78	2.323931828183635e-74	3.350231665792011e-78	3.3380887559782776e-78	1.742494843074289e-75	2.248321500697781e-78	8.657925808577561e-76	2.225630297744559e-78	3.2032461674859643e-75	2.225674564674757e-78	3.337486443683908e-78	1.0124698117876687e-77	1.1365259356195555e-78	6.687301267617427e-76	2.3342319377798987e-78	2.842557116292928e-77	1.2251447988713684e-75	2.2262788743156956e-78	3.3371162907531044e-78	3.336844934007858e-78	1.1121727873666266e-78	3.97619137274494e-78	5.810922610070048e-75	7.792911710488981e-78	1.4937816130678825e-75	5.820191776685187e-76	3.3845728958136244e-78	1.1122242858083998e-78	8.579366252763585e-78	6.180749495296834e-76	1.112082808876925e-78	8.907109100465355e-78	1.6730549455880677e-77	3.334021560293791e-84	1.8099447872324537e-77	2.2449010945628216e-78	3.3367380255342577e-78	4.945071104944364e-74	3.3367701898584136e-78	3.3427832497124963e-78	3.3508781101527714e-78	6.698449014000453e-76	3.0626817393242887e-74	3.337416408201187e-78	1.9615581934665227e-74	9.002055118281002e-78	3.3482100441160493e-78	3.3370322146255035e-78	9.012317721490613e-78	1.8374774831596454e-74	1.4363648624609662e-73	1.1208660913088824e-78	1.2515021112236687e-75
n0	8.313523108980546e-08	2.488278673104591e-07	5.806535806430739e-07	8.317197156645191e-07	1.658875966234959e-07	6.791262944826322e-05	1.2733677296054534e-05	8.294681648480975e-08	1.8404541064837553e-06	2.49187981919992e-07	0.999805371409035	1.658817359636756e-07	8.308005485924348e-08	2.4955425420489275e-07	2.4882218551331304e-07	4.157087908131893e-07	8.298553506747162e-08	1.6588045203971706e-07	1.6598433263950948e-07	3.3174901369672204e-07	1.912624011696041e-06	2.488141374245736e-07	2.4881700405520173e-07	3.208770775822274e-05	1.6765360407353249e-07	1.659646683530407e-07	1.6596155871672254e-07	8.365215359791648e-08	1.6596485962827412e-07	2.488100515292777e-07	6.443873694102929e-07	8.292323019718488e-08	4.987902458109039e-07	1.6588758462382368e-07	3.545604723298526e-05	3.3297376156041127e-07	1.6600992199555543e-07	2.488148584308684e-07	2.488229905052734e-07	8.293287952664449e-08	2.964979936899276e-07	2.5045158458642256e-07	5.811044968813028e-07	8.294541673616231e-08	1.4609346498909754e-06	2.488119461546032e-07	8.29367196799946e-08	4.978958316937641e-07	1.658791237693438e-07	8.29261699799525e-08	6.641845727050738e-07	1.2475210049333345e-06	2.4861245621174536e-13	1.3496449545651427e-06	1.6596660605980356e-07	2.488150185177872e-07	4.1592119562378124e-07	2.488172438392398e-07	2.488110196846258e-07	2.4904849591671953e-07	4.1804156398505184e-07	1.1865974562138319e-06	2.488195769105584e-07	9.153699921573297e-07	6.712683146872016e-07	2.4881728582464727e-07	2.488181491227015e-07	6.719881134506216e-07	1.8587335338217657e-05	2.447901422428129e-06	8.358112477837962e-08	2.486124562117454e-07
EPI_ISL_403934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n206	3.132005454472201e-11	9.374247565382182e-11	2.1875324791824995e-10	3.1333898476330206e-10	2.0574853658617624e-10	5.225003793605009e-10	3.9791984870736535e-09	3.124907193448408e-11	2.403115203259681e-08	9.387814387852702e-11	0.9999992534552075	6.249366183565692e-11	3.129926765896623e-11	9.401613192271021e-11	9.374033511491066e-11	1.5661260068694444e-10	2.3727062735064606e-08	6.249317813497376e-11	6.253231372176394e-11	1.249818767318314e-10	1.838471911168482e-08	2.70512174787327e-09	9.373838307185948e-11	2.75041346262316e-09	6.316118876881506e-11	2.308923535563711e-08	6.252373395967182e-11	3.1514797987869125e-11	6.25249775326811e-11	9.373576380336992e-11	2.870174967241114e-07	4.7651307986396745e-09	1.8791236278993743e-10	2.1253280069123492e-08	1.297705808749166e-10	2.8687036966350692e-08	6.254195415959778e-11	1.6729319116225317e-10	9.374063838455669e-11	3.124382137723691e-11	1.1170153992519919e-10	9.098879662836909e-10	2.1892312440731606e-10	3.1248544598438795e-11	1.6878685351463547e-08	1.6346277370481464e-10	3.124526810218311e-11	1.8757543991074844e-10	1.0987905503093598e-08	3.1241293647830146e-11	2.5022239996437967e-10	4.699863753069221e-10	9.366132248598527e-17	5.084601683169273e-10	3.775595403389676e-09	9.373763504794316e-11	2.2465322736499073e-07	9.373847340719689e-11	1.2666210641171357e-09	2.2224967324135813e-09	1.5749140784644155e-10	4.4703426650846795e-10	2.130448589228734e-10	3.448530509526282e-10	2.5289110229856425e-10	2.3060628542542274e-09	1.4250480761088096e-10	3.7105822846152376e-10	2.318668970869688e-08	1.2443801244354978e-08	3.148803885732198e-11	9.366132248598527e-11
n225	1.6631561060827362e-13	4.977908661057532e-13	1.1616224980744113e-12	1.6638911151428525e-12	3.3186528218071827e-13	2.7745791282806217e-12	3.001593688212832e-12	1.659386790755468e-13	3.68190771233552e-12	4.985112908930015e-13	0.9999999999202304	3.3185355767829487e-13	1.6620522818246464e-13	4.992440343750475e-13	4.977794994258027e-13	8.31643341492995e-13	1.6601613726787618e-13	3.318509891331362e-13	3.3205880674738164e-13	6.636781910434256e-13	3.826286716225658e-12	4.97763398877631e-13	4.977691336957071e-13	3.2365216104918976e-12	3.3539825615023206e-13	3.3201946749529603e-13	3.320132465339029e-13	1.673497363507024e-13	3.3201985014961745e-13	4.977552248681357e-13	1.2891246876546072e-12	1.658914936912411e-13	9.978513707128435e-13	3.3186525817481376e-13	6.891071459145721e-13	6.661283518973463e-13	3.3210999935634013e-13	4.977648412818117e-13	4.977811098468921e-13	1.6591079759044242e-13	5.931570071826276e-13	5.010391824532791e-13	1.1625245754308438e-12	1.6593587881809823e-13	2.9226626927028198e-12	4.977590151476725e-13	1.6591847998264472e-13	9.960620567471665e-13	3.31848331871043e-13	1.658973748532905e-13	1.328729845553749e-12	2.4957195037807618e-12	4.973599269244922e-19	2.700022863717076e-12	3.320233439611146e-13	4.977651615425228e-13	8.320682664653706e-13	4.977696133940033e-13	4.977571617045451e-13	4.98232243135493e-13	8.363101547009157e-13	2.3738393204588684e-12	4.977742808036339e-13	1.83123709626418e-12	1.3429011765010773e-12	4.977696973876193e-13	4.977714244525283e-13	1.3443411649306672e-12	1.4350364168040998e-11	4.8971322319439585e-12	1.6720764013787683e-13	4.973599269245248e-13
EPI_ISL_416336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n230	2.1507051462780398e-07	6.437167104087325e-07	1.5021485208176284e-06	2.1516556209584415e-06	4.291505575734162e-07	3.5879383709826743e-06	3.881501543159594e-06	2.1458308678850385e-07	4.761247507723054e-06	6.446483254819325e-07	0.9996054314732238	4.2913539606959786e-07	2.1492777393716504e-07	6.455958704369999e-07	6.437020116219464e-07	1.075437000697269e-06	2.1468325160899679e-07	4.2913207456338574e-07	4.294008132649485e-07	8.582333887536362e-07	4.947950767594662e-06	6.436811912481497e-07	6.436886072102677e-07	4.185297855244587e-06	4.3371921187481117e-07	4.293499418334846e-07	4.2934189721660576e-07	2.164077911155789e-07	4.2935043666175837e-07	6.436706210531493e-07	1.667027580749975e-06	2.145220691555323e-07	1.2903683967871315e-06	4.291505265303115e-07	8.911167626628758e-07	8.61401806641937e-07	4.294670128280177e-07	6.436830564885879e-07	6.437040941329697e-07	2.1454703193275067e-07	7.670391391601449e-07	6.479172605915339e-07	1.503315039345798e-06	2.1457946564427885e-07	3.7794321717856185e-06	6.436755224413869e-07	2.1455696639430725e-07	1.2880545509970614e-06	4.2912863833317386e-07	2.1452967436194643e-07	1.718242867518113e-06	3.2273319147952495e-06	6.431594427467608e-13	3.491526169327493e-06	4.2935495467323046e-07	6.436834706328149e-07	0.00016146760372830567	6.436892275306277e-07	6.436731256672129e-07	6.442874757421299e-07	1.081471875683548e-06	0.0001340927205001475	6.436952631769181e-07	2.368058556010832e-06	1.736568480060659e-06	6.43689336146711e-07	6.436915694953692e-07	1.7384305966202301e-06	1.855712879524155e-05	6.3327113159887534e-06	2.162240398398448e-07	6.431594427467607e-07
n314	1.1123081525553733e-06	3.3291934329674104e-06	0.0012530504469731249	1.1127997219076303e-05	2.219493753891429e-06	1.85562075202037e-05	2.007446635855237e-05	1.1097872586039647e-06	2.4624362983179704e-05	3.3340115878070466e-06	0.9982212239071585	2.2194153411700825e-06	1.1115699219606797e-06	3.3389121292885746e-06	3.329117413339847e-06	5.561977407760141e-06	1.110305294033682e-06	2.219398162904556e-06	2.2207880337995636e-06	4.438637238386095e-06	2.5589960514869463e-05	3.3290097339047865e-06	3.3290480880008104e-06	2.164564925748886e-05	2.243122057540639e-06	2.2205249354009813e-06	2.2204833300095868e-06	1.1192243192932039e-06	2.220527494568577e-06	3.328955066652763e-06	8.621583352845453e-06	1.1094716857755768e-06	6.67356606287946e-06	2.2194935933414767e-06	4.608704460041907e-06	4.455023757263792e-06	2.2211304066897984e-06	3.329019380611572e-06	3.3291281837329582e-06	1.109600789017174e-06	3.966996077046308e-06	3.3509179646708233e-06	7.774889910023725e-06	1.1097685306614827e-06	1.954658091548422e-05	3.328980415799567e-06	1.1096521683642268e-06	6.6615992456683475e-06	2.219380391305853e-06	1.1095110186107214e-06	8.886460112479386e-06	1.669121221029083e-05	3.326311339321366e-12	1.8057579997538773e-05	2.220550860956119e-06	3.3290215224946983e-06	5.5648192787623215e-06	3.3290512961922946e-06	3.3289680200906302e-06	3.3321453342756196e-06	5.593188755622426e-06	1.5876085349690882e-05	3.329082511528993e-06	1.2247196423635938e-05	8.981237066294024e-06	3.329051857936219e-06	3.329063408435726e-06	8.990867616691308e-06	9.59743165291091e-05	3.275170674485069e-05	1.1182739889219594e-06	3.326311339321584e-06
EPI_ISL_411902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EPI_ISL_428473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
