id	species	location	iso2	iso3	country	state	intregion	region
EPI_ISL_419791	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_420784	Human	North America / USA / Arizona	US	USA	USA	Arizona	Northern America	North America
EPI_ISL_419790	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_417134	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_419797	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_417135	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_419796	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_417132	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_419795	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_417133	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_419794	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_417138	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_417139	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_417136	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_419799	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_417137	Human	North America / USA / Washington / King County	US	USA	USA	Washington	Northern America	North America
EPI_ISL_419798	Human	Oceania / Australia / Victoria	AU	AUS	Australia	Victoria	Australia and New Zealand	Oceania
EPI_ISL_429141	Human	Europe / Sweden / Varmland	SE	SWE	Sweden	Varmland	Northern Europe	Europe
EPI_ISL_429140	Human	Europe / Sweden / Varmland	SE	SWE	Sweden	Varmland	Northern Europe	Europe
