parameter	value
Argentina	0.0013110080246100297
Australia	0.002561119094527394
Austria	0.005771039706346458
Belgium	0.016964206378630456
Belarus	0.003360056500117964
Brazil	0.020297069898979996
Canada	0.016804878497170397
Switzerland	0.010951876851803622
Chile	0.004713194493383297
China	0.03213329309282994
Democratic Republic of the Congo	0.0001593278814600562
Colombia	0.0018694216091503229
Czech Republic	0.002785556927545646
Germany	0.05838371056251934
Denmark	0.0031444276605458207
Algeria	0.001197640108955759
Diamond Princess	2.680998005337484e-05
Ecuador	0.004283085813384155
Spain	0.07976696765337607
Estonia	0.0006147145426523803
Finland	0.0016832837476368917
France	0.04694695607146468
United Kingdom	0.05494667111967669
Georgia	0.00017005187348140613
Ghana	0.0004898566355466631
Gambia	3.82999715048212e-06
Greece	0.0009536692904700478
Grand Princess	9.5749928762053e-06
Hong Kong	2.3745982332989143e-05
Croatia	0.0007694464275318579
Hungary	0.0009356683038627819
India	0.009385791016971484
Ireland	0.006964466818436687
Iran	0.03377827686896201
Iceland	0.0006851864902212512
Israel	0.005767209709195976
Italy	0.07391664700601462
Jordan	0.0001689028743362615
Japan	0.004937632326401549
Cambodia	4.672596523588187e-05
South Korea	0.004104990945886736
Kuwait	0.0010011612551360262
Sri Lanka	0.00016085988032024903
Lithuania	0.0005400295982179789
Luxembourg	0.0014151839471031433
Latvia	0.00030027177659779823
Mexico	0.004929972332100585
Malaysia	0.0021796513783393745
Nigeria	0.00041938468797779216
Netherlands	0.013992894589286426
Norway	0.0028372618890771546
Nepal	1.876698603736239e-05
New Zealand	0.0004278106817088528
Pakistan	0.004573016597675651
Peru	0.008291177831363693
Poland	0.004171632896305125
Portugal	0.00891278636888694
Qatar	0.0032650725707860074
Russia	0.026282206446038403
Saudi Arabia	0.005784061696658098
Senegal	0.00020873484470127553
Singapore	0.004281170814808914
Slovakia	0.0005208796124655683
Slovenia	0.0005258586087611951
Sweden	0.00672815599425194
Thailand	0.001093081186747597
Turkey	0.04018126610513802
Taiwan	0.00016392387804063473
Uruguay	0.00021562883957214335
USA	0.34107043824359395
Vietnam	0.00010340992306301724
South Africa	0.0016162587975034547
