node	Algeria	Argentina	Australia	Austria	Belarus	Belgium	Brazil	Cambodia	Canada	Chile	China	Colombia	Croatia	Czech Republic	Democratic Republic of the Congo	Denmark	Diamond Princess	Ecuador	Estonia	Finland	France	Gambia	Georgia	Germany	Ghana	Grand Princess	Greece	Hong Kong	Hungary	Iceland	India	Iran	Ireland	Israel	Italy	Japan	Jordan	Kuwait	Latvia	Lithuania	Luxembourg	Malaysia	Mexico	Nepal	Netherlands	New Zealand	Nigeria	Norway	Pakistan	Peru	Poland	Portugal	Qatar	Russia	Saudi Arabia	Senegal	Singapore	Slovakia	Slovenia	South Africa	South Korea	Spain	Sri Lanka	Sweden	Switzerland	Taiwan	Thailand	Turkey	USA	United Kingdom	Uruguay	Vietnam
root	1.2884856322396804e-72	3.8555755616719156e-72	1.5799648861750016e-69	1.1773281995361896e-71	2.5704717317029377e-72	5.033098144176147e-66	4.418118613316034e-71	1.5138040611981215e-69	2.6270427213991018e-68	3.8629279104190574e-72	1.0	2.570613102180905e-72	3.85590061063533e-72	3.8693295553486866e-72	3.8552559411867946e-72	6.700894973132403e-70	3.830529870245498e-71	2.626511082338231e-72	2.572892285884854e-72	3.8573551576713844e-72	3.9637399767556345e-68	5.349547863246008e-72	5.489976393379615e-72	1.5811108475240091e-68	3.855299390711225e-72	1.0690713279911437e-69	3.8557318892005733e-72	4.168741040263665e-69	2.572073431596365e-72	4.760086407891739e-72	1.1476376339190436e-71	1.2849080750289837e-72	8.791885734303086e-70	1.379497569509033e-71	6.562815252383425e-70	4.523345548194872e-69	2.5727316296908806e-72	3.855316842853889e-72	6.674705921712556e-70	1.2848375985508625e-72	3.9078569912454893e-72	1.187432773827535e-69	9.003015411294403e-72	2.023214614003103e-69	9.857915665097849e-70	3.908723597999918e-72	1.2848593027773612e-72	1.412615413105642e-70	2.0687845546335756e-69	1.2850889571889254e-72	1.0291828756376664e-71	1.945062265583283e-71	2.5701918933362688e-78	2.2251289442150306e-71	4.648613957273392e-72	2.573639389617668e-72	5.082848890466676e-68	3.855528830472566e-72	4.170312564702235e-72	5.097031738443744e-72	1.3872077981985915e-69	1.8776331024134437e-71	5.822229122110401e-72	4.688621262761079e-70	1.4502708651014707e-71	5.13281808195458e-72	2.572482763429649e-72	1.3015396602397245e-71	5.71130527421124e-68	2.8137890795417892e-67	1.2943486960766103e-72	2.570191893336269e-72
n0	4.486653736241742e-07	1.3425553274558989e-06	3.1326514760439837e-06	4.044137019196754e-06	8.950472808426876e-07	9.280734460429203e-06	7.721216141333941e-06	4.473483348620527e-07	1.0603155853394816e-05	1.3451154990364835e-06	0.0014545191378517763	8.951167627134636e-07	1.3426685132074258e-06	1.3473446247188312e-06	1.3424440319623472e-06	2.2543343438736174e-06	4.492455975526531e-07	8.950587883769909e-07	8.9591040044019e-07	1.3431750030533783e-06	1.083043043335755e-05	1.3424751205495169e-06	1.3425443098294553e-06	8.833359304532011e-06	1.342459161581665e-06	4.4796501946882415e-07	1.3426097624820241e-06	0.9983247363229499	8.956252660497895e-07	1.3425633238847218e-06	3.634419823127976e-06	4.474086100404947e-07	2.6930785081884886e-06	8.95024585202819e-07	1.851576551671378e-06	2.6972344956090926e-06	8.958544581234964e-07	1.34246523856856e-06	1.3424017428261917e-06	4.47395086740849e-07	1.36076031674434e-06	1.8786958291281136e-06	3.1349525149390376e-06	4.474034606694829e-07	8.069365146107402e-06	1.3424880330137833e-06	4.474026443997375e-07	3.135148878780574e-06	8.95212589795525e-07	4.474826126817196e-07	3.5837320019078067e-06	6.290398664051097e-06	8.949700929959876e-13	7.748151433886096e-06	8.957210315505517e-07	8.96170550469831e-07	2.158946367870842e-06	1.3425379354310099e-06	1.3426706548724417e-06	1.3436378814437087e-06	2.2490471999630326e-06	5.99662436146006e-06	1.3425279686392893e-06	3.598102696058234e-06	4.982298253695125e-06	1.3426941622213226e-06	8.957531949357734e-07	4.532092785871711e-06	4.049928373098587e-05	1.3206742715607745e-05	4.507069592353432e-07	8.949700929959877e-07
EPI_ISL_421234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EPI_ISL_428472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EPI_ISL_408977	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n2	1.2699239803727108e-08	3.8000329544965816e-08	8.866806902086896e-08	1.1446719275673242e-07	2.5333847279724076e-08	2.6268635690711595e-07	2.1854500284513386e-07	1.2661961707278783e-08	2.842329779880569e-07	3.807279386860619e-08	1.641643789187009e-05	2.53358139279008e-08	3.8003533208732854e-08	3.8135888110455335e-08	3.79971793839666e-08	6.380775988879739e-08	1.2715662739930307e-08	2.5334172994491162e-08	2.5358277430549938e-08	3.801786914011964e-08	0.9999776452091736	3.799805933024023e-08	3.800001769678563e-08	2.5002363604440186e-07	3.799760761996419e-08	1.2679416643997877e-08	3.8001870300038806e-08	1.2727205249941737e-08	2.5350206850084286e-08	3.8000555879720324e-08	1.0287036084042216e-07	1.2663667764822437e-08	7.622618502848193e-08	2.533320489145404e-08	5.2407910275530176e-08	7.634381808861579e-08	2.535669401240218e-08	3.7997779625914275e-08	3.799598241198547e-08	1.2663284994866845e-08	3.851561228838486e-08	5.3175507304346976e-08	8.873319872876227e-08	1.2663522014556956e-08	2.2839917916218253e-07	3.799842481081844e-08	1.2663498910466802e-08	8.873875670506052e-08	2.5338526263566376e-08	1.2665762371052986e-08	1.0143566845129526e-07	1.780464591028234e-07	2.533166251791093e-14	2.193073922770179e-07	2.5352917442723252e-08	2.536564084169235e-08	6.11078528915926e-08	3.7999837272756455e-08	3.800359382744607e-08	3.803097067196126e-08	6.365811003314889e-08	1.6973133042097128e-07	3.799955516790599e-08	1.0184242346715072e-07	1.4102135804748922e-07	3.800425919071709e-08	2.535382781059615e-08	1.282785266792995e-07	1.146311140136673e-06	3.7380997650181117e-07	1.2757025821503891e-08	2.533166251791093e-08
EPI_ISL_416364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
n3	1.532687354904459e-05	4.5863079582667426e-05	0.00010701461683729773	0.0002364006728208478	3.0575741522195614e-05	0.955783183388528	0.01166791518080595	1.5281882141744378e-05	0.00034304438528775225	4.595053769373696e-05	0.019313043483882762	3.0578115094817755e-05	4.586694612509122e-05	4.6026686934277394e-05	4.585927761341254e-05	7.70103945101006e-05	1.5346694598995673e-05	3.057613463147816e-05	3.0605226581008515e-05	4.588424834246557e-05	0.00044821350738098725	4.5860339631728155e-05	4.586270320914444e-05	0.0003017566967118941	4.5859794456868194e-05	1.530294872620415e-05	4.586493913950523e-05	1.5360625400690736e-05	3.0595486095107296e-05	4.5863352748952625e-05	0.00012415554292336442	1.52839412042271e-05	0.00018268467017788784	3.057496621564684e-05	6.32517714585545e-05	9.214032211219923e-05	3.0603315533567805e-05	4.586000205303043e-05	4.585783297275058e-05	1.5283479234314066e-05	4.6484980859629735e-05	6.417819404597935e-05	0.00010709322270761714	1.5283765296383542e-05	0.0034248431538524537	4.58607807348724e-05	1.5283737411764164e-05	0.0001911702099126914	3.058138864712571e-05	1.5286469211046945e-05	0.00012242399448662484	0.0003021581919309997	3.057310470545994e-11	0.0002646848726184431	3.059875754373434e-05	3.061411357528641e-05	7.375184251959534e-05	4.5862485453095795e-05	4.586701928658487e-05	4.9414456986499665e-05	7.682978020171625e-05	0.00029733147625134415	0.0012592045981877674	0.00012291491227302859	0.0002901638214845603	4.586782232195366e-05	3.059985627826386e-05	0.0001548209804569823	0.0025367409065239896	0.0005605246529646031	1.5396616226642318e-05	3.057310470545993e-05
n11	1.1168946332631553e-09	3.3421184879544685e-09	7.798332180651502e-09	1.0067357987615247e-08	2.228104871153612e-09	2.3103192537154828e-08	1.9220972639052962e-08	1.113616034976573e-09	2.4998211910140814e-08	3.3484917052043094e-09	0.9998824684588303	2.2282778373175753e-09	3.3424002492979417e-09	3.354040826348587e-09	3.341841432164648e-09	5.611874858794759e-09	1.1183390259662834e-09	2.2281335176774164e-09	2.2302534961712453e-09	3.343661090503888e-09	1.6454497378087132e-06	3.341918823196377e-09	1.321712022345989e-06	2.1989509734667392e-08	3.3418790954023595e-09	1.1151511918400399e-09	3.342253996937588e-09	1.1193541865337978e-09	2.2295436908483505e-09	7.329484499392796e-07	9.047419823570152e-09	1.1137660822663317e-09	6.704071919915155e-09	2.228048373282687e-09	2.655203079445257e-06	6.71441771506419e-09	2.2301142349824834e-09	3.3418942232781624e-09	3.3417361588095063e-09	1.1137324177544568e-09	3.3874374629193275e-09	4.676771180574133e-09	7.80406032047218e-09	1.1137532635707382e-09	2.0087644724456874e-08	3.341950967112286e-09	1.1137512315723904e-09	0.00010499493139812057	2.2285163864902275e-09	1.1139503023057872e-09	8.921239024202222e-09	9.736493052158756e-07	2.2279127219555675e-15	1.9288529120623656e-08	2.2297820867222936e-09	2.2309011061474787e-09	5.374418784093133e-09	3.3420751927496186e-09	3.342930520506907e-09	3.344813366610772e-09	5.603433587398948e-09	1.1386598718098633e-06	3.3420503817059364e-09	8.957013015502749e-09	1.2402789490792673e-08	3.3424640992129427e-09	2.2298621533252754e-09	1.1282060991474833e-08	1.0083230117999501e-07	3.629251986247492e-06	1.1219768975663775e-09	2.2279127219555676e-09
n24	8.113871007244397e-05	0.00024279388130788674	0.0005665231034425159	0.00073136034199222	0.00016186446757592162	0.1814585542022927	0.0013963402453767045	8.090053072419525e-05	0.001816037617246565	0.0002432568745135528	0.0936615044689002	0.00016187703299705642	0.00024281435033987465	0.0002436599998561848	0.0002427737541188781	0.000407684192912852	8.124364043675905e-05	0.0001618665486513715	0.00016202055809436111	0.0002429059462935214	0.001958624860647551	0.00024277937632197666	0.00024279188882962255	0.3261864676518697	0.00024277649022880156	8.101205480529559e-05	0.00024280372558841787	8.131738850261184e-05	0.00016196899307955397	0.00024279532741887535	0.000657265199514506	8.091143116473664e-05	0.00048702870585523204	0.00016186036319200558	0.26995974878456636	0.0004877802937383379	0.00016201044122849114	0.0002427775892190982	0.00024276610635696143	8.090898554902018e-05	0.00024608615531560675	0.00033975199593101047	0.0005669392339013098	8.091049992878996e-05	0.0014593011129205972	0.00024278171147142913	8.091035231082485e-05	0.0005669747452417069	0.00016189436280739073	8.092481414279013e-05	0.0006480985807559711	0.0011375846308792662	1.618505085706631e-10	0.0014012113475869157	0.00016198631175325342	0.00016206760482244856	0.00039043379253819185	0.00024279073605408484	0.000242814737648428	0.00024298965535090038	0.00040672804148671654	0.0010844571346070961	0.0002427889336136377	0.0006506974431927436	0.0009010217352759046	0.0002428189888255358	0.00016199212832778114	0.0008196045074837628	0.09976819588572841	0.002388368105047502	8.150791980587409e-05	0.0001618505085706631
